id;effect;description
1;BALANCE LOST;You fall Prone and use all your remaining movement.
2;BUTTERFINGERS;Your weapon slips from your hand 15 ft. in a random direction ({{ direction }}).
3;EMBARRASSED;You receive a -2 penalty to attack rolls against a target until you successfully hit a target with an attack.
4;PULLED MUSCLE;You have disadvantage on attack rolls and ability checks until Short Rest.
5;FATIGUED;You gain one level of Exhaustion.
6;EXCESSIVE EFFORT;You have -2 penalty on attack rolls and damages until Short Rest.
7;ITEM BROKE;Your non magical weapon/implement is broken.
8;STRING SNAP;The string or mechanism of your weapon breaks. You must spend an action to fix it.
9;BAD AIM;You hit an ally. If not allies in area, your projectile lands at your feet and hit yourself.
10;MISFIRED SHOT;Your projectile lands at your feet and hit yourself.
11;FRIENDLY FIRE;You critically hit an ally. If not allies in area, your projectile lands at your feet and critically hit yourself.
12;SUICIDE STRIKE;Your projectile lands at your feet and critically hit yourself.
13;ANKLE TWIST;You twist your ankle and have halved movement speed until Short Rest.
14;DUST;Something gets into your eye and have the Blinded condition until the end of your next turn.
15;FEAR;After you miss, you have the Frightened condition toward the target for {{ d4 }} round/s.
16;TANGLED QUIVER;Your ammo pouch gets caught on your belt. Spend your bonus action or action freeing it.
17;TOO MUCH DRAW;Your excessive pull damages your bow, giving to it permanent -1 to attack rolls and damages.
18;STUCK;Your foot is stuck in a hole and have the Restrained condition until the beginning of your next turn.
19;FALL;You fall Prone and bang your head. You also have the Incapacitated condition until the end of your next turn.
20;HARD FALL;You fall Prone and throw your helded items 15 ft. in a random direction ({{ direction }}).
21;SHOULDER DISLOCATION;You injure your shoulder. Disadvantage on ranged weapon attacks for {{ d4 }} round/s.
