id,male,female,surname
1,Boddin,Bibblee,Nickeltwist
2,Glimli,Tinka,Brassblip
3,Tobble,Zimmi,Tweaklenut
4,Finban,Felba,Fizzfuse
5,Wizzle,Wizzlea,Gearsprocket
6,Nimrick,Lommi,Whimbletick
7,Banlo,Trinket,Cobblewrench
8,Zibbit,Poppet,Snorblegog
9,Dwerm,Glimma,Blinkwhistle
10,Snorbo,Mindle,Crumplegear
11,Mekko,Nippa,Whizzleroot
12,Bramlin,Frabba,Bogglegrind
13,Fizzik,Snazzel,Frizzlewink
14,Nockton,Womma,Tinysprock
15,Zimwig,Dritzi,Zindlebit
16,Brufin,Hibbi,Hobblequartz
17,Yimble,Yindle,Muddlepot
18,Driplin,Brizzie,Fobblegrit
19,Hoggle,Nessa,Brinkwhistle
20,Snaggit,Zoppa,Nubblewink
21,Timber,Crimzi,Wizzlefin
22,Boppo,Lazzia,Snopplegrind
23,Whizzle,Tottie,Plonktinker
24,Klinket,Klinka,Cogglethumb
25,Norbick,Flizzel,Dabblegrit
26,Frondo,Dabblea,Trizzlebolt
27,Rindle,Brunnie,Tumblemint
28,Vambert,Yippa,Fropplecrank
29,Teebo,Tootzi,Yickeljam
30,Cogbit,Frigga,Blimmerwatt
31,Yorlin,Corka,Ninklenog
32,Branx,Zimzella,Klinklegear
33,Zubbo,Fennie,Bumblethumb
34,Tickwit,Mobba,Dibblezip
35,Grinpin,Wipplet,Tropplejack
36,Minbro,Grizka,Wizzlebonk
37,Flintle,Blimba,Fizzlecrank
38,Drixel,Razzle,Glimmerpipe
39,Snicket,Snooti,Tozzlefix
40,Hibbin,Thimzie,Zumpelwig
41,Moffle,Boffina,Crankletuft
42,Kazzit,Tropzi,Hobberjam
43,Toffik,Kelzi,Pofflewrench
44,Quindle,Zimpa,Tinkthorn
45,Voddik,Fizzina,Mizzlenap
46,Jombert,Norpa,Zonklejam
47,Blimper,Yibba,Cobblejam
48,Neekle,Glippa,Frandlesprock
49,Goggin,Hogglee,Nocklewhizz
50,Drundle,Snippa,Yabblefizz
51,Fribbin,Crinka,Dripplegear
52,Wamzo,Vimzle,Bozzletop
53,Borkle,Bramma,Gadgetzook
54,Tindle,Lizzle,Snibbernock
55,Zonbert,Minka,Flooplesprock
56,Kleepo,Tepple,Brimblejam
57,Nimzy,Zabble,Topplegrind
58,Crankle,Plimza,Yifflezap
59,Yibbo,Toffela,Crumblenick
60,Snomble,Dritta,Klinklenock
61,Brizzle,Mozzi,Thimblestack
62,Zindle,Glimzy,Whirlenock
63,Kriffo,Blimzie,Nubblestone
64,Woobit,Yazzia,Womblegog
65,Moppert,Korka,Frizzlenob
66,Lickin,Sninkie,Bobblepot
67,Thimzle,Floopa,Ticklegrit
68,Grindle,Wobbla,Hufflebang
69,Bozzik,Bazzel,Sprockleton
70,Nuddle,Trizella,Jammergrind
71,Plinket,Ramblee,Wizzlegrin
72,Tapper,Yazbit,Moppleblast
73,Boddick,Nibbi,Snizzlewatt
74,Zorbo,Klinka,Copperzip
75,Fobbick,Veffa,Glimmerplonk
76,Snibble,Whizza,Bafflebang
77,Juzzle,Nozzie,Drizzlestick
78,Yabble,Sprizzi,Snobblewhizz
79,Vibbo,Tinkawee,Pufflejack
80,Horkel,Zeffa,Cobblestitch
81,Drimmo,Fibbit,Grizzleknob
82,Trizzle,Breeza,Trinketforge
83,Zoffit,Flommi,Mucklemint
84,Spanner,Griffla,Brasswink
85,Ramble,Yomma,Tumblemix
86,Quibbo,Snarla,Bloopletwist
87,Corkit,Drimza,Yogglejam
88,Mibbin,Moppet,Zoppleclank
89,Whipzo,Tiffle,Miniforge
90,Nogbit,Crumbel,Whizzleblast
91,Brambit,Zippa,Blimmertorque
92,Wizzlefink,Foona,Gadgetglint
93,Flabber,Thimfa,Bobbinblast
94,Snagbit,Yumpa,Zinklejack
95,Tweeko,Brapsie,Crankletop
96,Cribblin,Zulka,Thistlegrind
97,Quazzit,Nympie,Blinkertick
98,Fonkit,Clinksy,Fuzzlenob
99,Drombo,Dromma,Dabblejam
100,Yimrick,Tozzie,Flobberzap
101,Clanko,Brunza,Zumblenock
102,Bimpnick,Wimzeen,Fizzlespark
103,Glabber,Fizzaba,Plinketwatt
104,Zanpo,Yiffla,Trizzleknob
105,Kroppit,Snartzi,Glimmerjack
106,Skimbo,Zizzli,Nobblewhack
107,Wogget,Framzie,Boggleflash
108,Jipple,Tibbit,Whifflegrind
109,Zizzle,Lupza,Tinklestop
110,Ropkit,Crimfa,Zimbleglow
111,Thibbo,Minzi,Flickerpot
112,Frizzbit,Glimzee,Whimzygrit
113,Poggle,Yimza,Hopplebang
114,Breepik,Drizza,Snobberstick
115,Klinko,Wizzleen,Crankleplume
116,Dabble,Kazzima,Yippletwist
117,Yorpin,Toppi,Bimblepot
118,Snazzik,Raffla,Klickerblast
119,Tofflen,Mizzra,Zazzlewhirl
120,Gribbick,Yazzbit,Ticklenap
