id,male,female,surname
1,Korrak,Thara,Mountainbreakers
2,Thundar,Bruna,Children of the Wind
3,Brumek,Kyra,Heart of Stone
4,Drogan,Valka,Hammers of Thunder
5,Varokk,Mora,Guardians of the Rock
6,Grunak,Zhara,Blood of Quartz
7,Torgun,Shara,Bones of Granite
8,Balruk,Durna,Stag’s Eye
9,Karnoth,Torra,Bites of Ice
10,Durmak,Venka,Spikes of the Fault
11,Harokk,Korra,Wolves of the Peaks
12,Murog,Lura,Claws of Dragon
13,Thorek,Arka,Hand of the Wind
14,Baroth,Rhuna,Children of Thunder
15,Gorvak,Myra,Brothers of the Snow
16,Khalgrum,Surna,Feet of Rock
17,Skarn,Thyra,Voices of the Storm
18,Vornak,Vora,Heart of Ice
19,Drugal,Drina,Shields of Stone
20,Harnok,Harla,Spirits of the Sky
21,Ruggar,Kara,Blood of Marble
22,Zorran,Zyra,Blades of Granite
23,Korrum,Orna,Shadows of the Peaks
24,Bhalgar,Marna,Cloaks of Snow
25,Throm,Bryka,Head of Rock
26,Vurak,Tara,Fury of the Mountain
27,Tarnok,Vyra,Children of the Storm
28,Krulgar,Shyra,Claws of Marble
29,Durgoth,Kyna,Hands of Granite
30,Bronnar,Thala,Horns of Thunder
31,Gorthok,Ryka,Guardians of the Ice
32,Kagrim,Urna,Arms of Rock
33,Vhulgar,Harka,Shadows of the Wind
34,Mornak,Mavra,Hunters of the Peaks
35,Uthram,Nyra,Heart of Granite
36,Zaruk,Syra,Spirits of the Summits
37,Thorgum,Zylla,Voices of Marble
38,Brudak,Lyra,Wolves of Ice
39,Garnok,Talra,Brothers of Rock
40,Trolgar,Vyra,Bones of Thunder
41,Durven,Orka,Spikes of Marble
42,Kalrok,Drala,Hands of the Sky
43,Murogath,Kahla,Eye of Granite
44,Gromrak,Thora,Feet of Ice
45,Krarn,Mylra,Blades of Thunder
46,Varkun,Zhara,Cloaks of Rock
47,Thundruk,Syla,Heart of Marble
48,Rhorak,Rhira,Shadows of Ice
49,Zurvak,Lyssa,Arms of Thunder
50,Targan,Mylla,Spirits of Granite
51,Krelgar,Thira,Guardians of the Peaks
52,Drokar,Arla,Fury of Granite
53,Varnuk,Kylla,Claws of Ice
54,Gromgul,Urka,Children of Marble
55,Brontar,Vylla,Hands of Thunder
56,Thurgan,Marla,Hunters of Granite
57,Mazruk,Drira,Head of Marble
58,Bharok,Thyla,Wolves of Granite
59,Karnok,Rhila,Bones of Marble
60,Zudrak,Kryna,Horns of Rock
61,Throlgar,Zyra,Spines of the Mountain
62,Korrumek,Syla,Crags of Stone
63,Drugar,Lyra,Thunders of the High
64,Morvok,Myra,Sons of the Glacier
65,Ullgar,Tyra,Echoes of Granite
66,Garneth,Orla,Shields of the Summit
67,Vulgath,Kyra,Breath of the Wind
68,Khorak,Thylla,Guardians of the Pass
69,Bhronn,Urla,Fangs of the Peak
70,Darnok,Valra,Spirits of the Rift
71,Vozruk,Drala,Claws of the Storm
72,Gurkoth,Marna,Children of the Boulder
73,Trundar,Sylra,Roar of the Mountain
74,Kundrak,Kara,Shadows of the Glacier
75,Skorvan,Rylla,Hearts of the Cliff
76,Zarmek,Thara,Blades of the Summit
77,Gorvek,Zylla,Wolves of the Rift
78,Tromgar,Orra,Fury of the Peak
79,Krundok,Lylla,Hands of the Crag
80,Brolgar,Myra,Horns of the Summit
81,Thurnak,Thala,Skulls of the Pass
82,Darneth,Kyla,Guardians of the Crag
83,Vorlog,Urra,Children of the Peak
84,Kurgath,Vylla,Blood of the Summit
85,Ragnor,Drara,Voices of the Crag
86,Thokran,Rhila,Eyes of the Boulder
87,Zulgar,Marla,Claws of the Crag
88,Malkor,Syra,Shields of the Peak
89,Grunakth,Kylla,Spirits of the Boulder
90,Varuth,Thira,Fangs of the Summit
91,Khalven,Zyra,Hearts of the Rift
92,Tarnokh,Lyra,Blades of the Crag
93,Bralgor,Mylla,Bones of the Peak
94,Udrak,Orna,Roar of the Rift
95,Garnuk,Thyra,Horns of the Crag
96,Bhurak,Kara,Spines of the Summit
97,Morgran,Urna,Children of the Rift
98,Torvak,Vyra,Guardians of the Boulder
99,Vhronn,Drala,Breath of the Summit
100,Dorrak,Rhira,Skulls of the Summit
101,Skarvek,Marra,Fury of the Crag
102,Kholgar,Sylla,Hands of the Rift
103,Thormuk,Kyra,Blades of the Boulder
104,Zarnok,Thylla,Wolves of the Summit
105,Grudok,Orla,Voices of the Boulder
106,Vargoth,Lyra,Claws of the Boulder
107,Burmal,Myra,Shadows of the Crag
108,Dholrak,Thara,Hearts of the Summit
109,Rhalgar,Zylla,Blood of the Crag
110,Morthok,Urla,Guardians of the Rift
111,Brundak,Vyra,Skulls of the Boulder
112,Kalkhor,Drira,Roar of the Crag
113,Dorvun,Rhila,Fangs of the Crag
114,Vhulmak,Marla,Spines of the Rift
115,Skalgar,Syla,Eyes of the Summit
116,Rughar,Kylla,Bones of the Rift
117,Trogran,Thira,Children of the Crag
118,Drorak,Zyra,Hands of the Boulder
119,Krunthor,Lyra,Fury of the Rift
120,Zulmok,Mylla,Horns of the Boulder
