id,male,female,surname
1,Gruk,Grusha,Bloodfury
2,Drogar,Roga,Ironfang
3,Thok,Thoka,Skullcrusher
4,Mogar,Mogara,Bonehowl
5,Brug,Bruga,Stormmaw
6,Skarn,Skara,Darktusk
7,Gorak,Gora,Grimfang
8,Ushrak,Ushra,Deathgrip
9,Zogoth,Zogotha,Stoneclaw
10,Krag,Kraga,Rageborn
11,Bolg,Bolga,Thunderaxe
12,Drak,Draka,Blackscar
13,Thrag,Thraga,Cragtooth
14,Rok,Roka,Fangbreaker
15,Mog,Moga,Warmaw
16,Gharn,Gharna,Shadowtusk
17,Brak,Braka,Ironhide
18,Skulg,Skulga,Bloodmaw
19,Urgh,Urgha,Grimtooth
20,Drok,Droka,Stormtusk
21,Grosh,Grosha,Skullmaw
22,Krug,Kruga,Bonefang
23,Thrak,Thraka,Thunderclaw
24,Grash,Grasha,Rageclaw
25,Murg,Murga,Darkfang
26,Zurk,Zurka,Stonefang
27,Skorg,Skorga,Deathmaw
28,Grum,Gruma,Blackfang
29,Thokar,Thokara,Cragfang
30,Brugor,Brugora,Fangmaw
31,Ghok,Ghoka,Warfang
32,Drosh,Drosha,Shadowfang
33,Krath,Kratha,Ironclaw
34,Urgash,Urgasha,Bloodtooth
35,Mogoth,Mogotha,Grimmaw
36,Brugthak,Brugthaka,Stormfang
37,Skrog,Skroga,Skulltooth
38,Grak,Graka,Boneclaw
39,Thruk,Thruka,Thundermaw
40,Zarg,Zarga,Ragefang
41,Grog,Groga,Darkclaw
42,Drakthar,Draktha,Stonemaw
43,Mogrun,Mogrunna,Deathfang
44,Brulg,Brulga,Blackmaw
45,Throk,Throka,Cragmaw
46,Grumak,Grumaka,Fangtooth
47,Skarg,Skarga,Warclaw
48,Drogarth,Drogartha,Shadowmaw
49,Ushk,Ushka,Ironfang
50,Zorg,Zorga,Bloodclaw
51,Brakth,Braktha,Grimclaw
52,Ghrak,Ghraka,Stormtooth
53,Thurg,Thurga,Skullfang
54,Morg,Morga,Bonemaw
55,Drokthar,Droktha,Thunderfang
56,Grashnak,Grashnaka,Ragetooth
57,Skulgor,Skulgora,Darkmaw
58,Brugth,Brugtha,Stoneclaw
59,Throkar,Throkara,Deathclaw
60,Grogath,Grogatha,Blackclaw
61,Zurg,Zurga,Cragclaw
62,Thrakor,Thrakora,Fangclaw
63,Brakgor,Brakgora,Warmaw
64,Mograth,Mogratha,Shadowclaw
65,Skroth,Skrotha,Ironmaw
66,Ghorak,Ghoraka,Bloodfang
67,Drakgor,Drakgora,Grimfang
68,Urgnak,Urgnaka,Stormclaw
69,Zhorg,Zhorga,Skullmaw
70,Brugnak,Brugnaka,Bonefang
71,Throgar,Throgara,Thunderclaw
72,Grulg,Grulga,Ragefang
73,Drogarth,Drogartha,Darkfang
74,Skarnak,Skarnaka,Stonefang
75,Mogruk,Mogruka,Deathmaw
76,Ghrulg,Ghrulga,Blackfang
77,Thrukar,Thruka,Cragfang
78,Brakthar,Brakthara,Fangmaw
79,Grorak,Groraka,Warfang
80,Zhrog,Zhroga,Shadowfang
81,Draknak,Draknaka,Ironclaw
82,Skrogth,Skrogtha,Bloodtooth
83,Mogrug,Mogruga,Grimmaw
84,Ghorug,Ghoruga,Stormfang
85,Brugrak,Brugraka,Skulltooth
86,Thrukthar,Thrukthara,Boneclaw
87,Drogh,Drogha,Thundermaw
88,Grakthar,Grakthara,Rageclaw
89,Skulgath,Skulgatha,Darkclaw
90,Mogrukth,Mogruktha,Stonemaw
91,Brulgor,Brulgora,Deathfang
92,Throkthar,Throkthara,Blackmaw
93,Ghorg,Ghorga,Cragmaw
94,Zurgak,Zurgaka,Fangtooth
95,Drokgar,Drokgara,Warclaw
96,Grulgath,Grulgatha,Shadowmaw
97,Skrogar,Skrogara,Ironfang
98,Mogthak,Mogthaka,Bloodclaw
99,Brugthak,Brugthaka,Grimclaw
100,Throkgar,Throkgara,Stormtooth
101,Ghorakth,Ghoraktha,Skullfang
102,Drograk,Drograka,Bonemaw
103,Grakthar,Grakthara,Thunderfang
104,Skulgathar,Skulgathara,Ragetooth
105,Mograg,Mograga,Darkmaw
106,Brulgath,Brulgatha,Stoneclaw
107,Thrukgar,Thrukgara,Deathclaw
108,Zhorgath,Zhorgatha,Blackclaw
109,Grogathar,Grogathara,Cragclaw
110,Drogarak,Drogaraka,Fangclaw
111,Skrogath,Skrogatha,Warmaw
112,Mogthar,Mogthara,Shadowclaw
113,Brakthak,Brakthaka,Ironmaw
114,Thrograk,Thrograka,Bloodfang
115,Grulgathar,Grulgathara,Grimfang
116,Drograth,Drogratha,Stormclaw
117,Skrogarth,Skrogartha,Skullmaw
118,Mograkth,Mograktha,Bonefang
119,Brugthar,Brugthara,Thunderclaw
120,Throkgarth,Throkgartha,Ragefang
