id,male,female,surname
1,Azael,Azara,Darkflame
2,Belthar,Belina,Nightshade
3,Caelum,Caelia,Shadowborn
4,Drazir,Drazia,Emberfell
5,Ezryn,Ezrina,Infernos
6,Ferox,Feraya,Duskbane
7,Ghazan,Ghazira,Firebrand
8,Haziel,Haziel,Ashwalker
9,Izzar,Izzara,Blazewind
10,Jareth,Jasira,Emberstorm
11,Khalir,Khalira,Nightfire
12,Lorcan,Lorina,Shadowflame
13,Mordai,Mordina,Dreadfire
14,Nerath,Neraya,Flameheart
15,Orion,Oriana,Soulburn
16,Pharos,Phara,Blackfire
17,Quorin,Quira,Ashenborn
18,Raziel,Razira,Firesworn
19,Sareth,Sariel,Darkforge
20,Talvek,Talyra,Nightflame
21,Uther,Uthira,Emberclaw
22,Veyron,Veyra,Shadowfire
23,Wylar,Wylina,Dreadflame
24,Xaros,Xara,Flameborn
25,Yaziel,Yazira,Soulflare
26,Zareth,Zarina,Blackflame
27,Akris,Akrina,Ashenflame
28,Belgor,Belora,Firesoul
29,Caelen,Caelina,Darkember
30,Draven,Drenia,Nightblaze
31,Ezreal,Ezreia,Emberbane
32,Fenrir,Fenira,Shadowclaw
33,Gharron,Gharina,Dreadember
34,Harken,Harkina,Flameseer
35,Ilaren,Ilaria,Soulflare
36,Jaxiel,Jaxira,Blackember
37,Kerath,Kerina,Ashenclaw
38,Lyric,Lyrina,Firescar
39,Morthos,Morthia,Darkflare
40,Nemeth,Nemira,Nightember
41,Oryn,Oryna,Emberforge
42,Pryas,Prya,Shadowbane
43,Quintar,Quinta,Dreadclaw
44,Riven,Rivena,Flameforge
45,Sorath,Sorina,Soulburn
46,Taziel,Tazia,Blackclaw
47,Uvran,Uvrina,Ashenflare
48,Vakar,Vakara,Firespire
49,Wyren,Wyra,Darkstorm
50,Xander,Xandria,Nightforge
51,Yorath,Yorina,Emberstorm
52,Zyler,Zyra,Shadowforge
53,Azrael,Azriel,Dreadstorm
54,Balthor,Balina,Flameclaw
55,Caius,Caia,Soulforge
56,Drakar,Drazia,Blackstorm
57,Elric,Elria,Ashenstorm
58,Falthar,Falthira,Firesoul
59,Ghazan,Ghazira,Darkflare
60,Hazron,Hazrina,Nightstorm
61,Izziel,Izzira,Emberflare
62,Jorath,Joria,Shadowstorm
63,Khalan,Khalina,Dreadflare
64,Lorath,Lorana,Flamebane
65,Mordun,Mordina,Soulstorm
66,Nerak,Nerina,Blackflare
67,Ozar,Ozarina,Ashenbane
68,Pharos,Pharina,Firespire
69,Quiran,Quirina,Darkspire
70,Razran,Razina,Nightbane
71,Sorik,Sorina,Emberspire
72,Talren,Talyra,Shadowspire
73,Uric,Uriana,Dreadspire
74,Varek,Varina,Flamespire
75,Wyzar,Wyra,Soulspire
76,Xalor,Xalina,Blackspire
77,Yvarn,Yvaria,Ashenspire
78,Zareth,Zarina,Firespire
79,Azrin,Azrina,Darkfire
80,Belor,Belira,Nightfire
81,Caelen,Caelia,Emberfire
82,Drax,Draxia,Shadowfire
83,Ezrin,Ezrina,Dreadfire
84,Falnor,Falnira,Flamefire
85,Gharn,Gharina,Soulfire
86,Hazar,Hazira,Blackfire
87,Ilran,Ilrana,Ashenfire
88,Jaxar,Jaxira,Firesoul
89,Keron,Kerina,Darkburn
90,Lyran,Lyrana,Nightburn
91,Morthar,Morthira,Emberburn
92,Nemar,Nemira,Shadowburn
93,Ozar,Ozarina,Dreadburn
94,Pryan,Prya,Flameburn
95,Quorin,Quarina,Soulburn
96,Razan,Razina,Blackburn
97,Sorren,Sorina,Ashenburn
98,Talzar,Talira,Firescar
99,Uvran,Uvrina,Darkscar
100,Varin,Varina,Nightscar
101,Wylar,Wyra,Emberscar
102,Xaran,Xarina,Shadowscar
103,Yrath,Yrisa,Dreadscar
104,Zylen,Zylina,Flamescar
105,Azin,Azinia,Soulscar
106,Balor,Balora,Blackscar
107,Caelth,Caelina,Ashenscar
108,Drazor,Drazira,Firesworn
109,Ezran,Ezrina,Darksworn
110,Felthor,Felthira,Nightsworn
111,Gharrak,Gharina,Embersworn
112,Hazrel,Hazrelia,Shadowsworn
113,Izar,Izaria,Dreadsworn
114,Jareth,Jarina,Flamesworn
115,Khalor,Khalira,Soulsworn
116,Lorien,Lorina,Blacksworn
117,Morthal,Morthira,Ashensworn
118,Nerath,Nerina,Firespike
119,Oryn,Oryana,Darkspike
120,Pharok,Pharina,Nightspike
