id,male,meaning_en,meaning_it,source
1,Nui,New,Nuovo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
2,Nidi,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
3,Althiolf,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
4,Dvalinn,He who lingers,Colui che indugia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
5,Grerr,Noisy/Small,Rumoroso/Piccolo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
6,Nainn,Close relative,Parente stretto,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
7,Niping,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
8,Dainn,Dead,Morto,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
9,Bivorr,Beaver,Castoro,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
10,Gullmevill,Golden seagull,Gabbiano dorato,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
11,Heri,Hare,Lepre,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
12,Henbui,Lavender,Lavanda,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
13,Vidr,Tree,Albero,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
14,Virfir,Horse,Cavallo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
15,Hliodolfr,Howling wolf,Lupo ululante,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
16,Bildr,Arrow,Freccia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
17,Fornbogi,Ancient bow,Arco antico,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
18,Vifir,He who throws the arrow or spear,Colui che scaglia la freccia o la lancia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
19,Hornbori,He who blows the horn,Colui che soffia nel corno,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
20,Fundinn,Found,Trovato,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
21,Haurr,Grey-haired,Grigio di capelli,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
22,Bafurr,As small as a bean,Piccolo come una fava,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
23,Bomburr,Massive person,Persona massiccia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
24,Grimr,Masked,Mascherato,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
25,Loinn,Lazy,Pigro,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
26,Midvidr,Medium-sized,Di medie dimensioni,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
27,Nori,Little piece,Pezzetto,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
28,Ori,Excited,Eccitato,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
29,Barri,Rough,Ruvido,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
30,Onar,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
31,Oinn,Fearful,Timoroso,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
32,Modvitnir,Furious wolf,Lupo infuriato,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
33,Vigr,He who walks unsteadily,Colui che ha un andatura traballante,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
34,Vindalfr,Wind elf (Same as Elvish. Some Dwarven names are connected to the word 'elf'),Elfo del vento (Come in elfico. Alcuni nomi nanici sono connessi alla parola 'elfo'),Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
35,Thorin,Brave,Coraggioso,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
36,Fili,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
37,Kili,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
38,Vali,Little fighter,Piccolo combattente,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
39,Thekk,Pleasant,Piacevole,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
40,Lit,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
41,Vitr,Wise,Saggio,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
42,Nyrad,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
43,Radsvinn,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
44,Draupnir,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
45,Dolgthvari,Enemy spear,Lancia nemica,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
46,Dolgthbrasir,Battle-hungry,Avido di battaglia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
47,Dolgr,Enemy,Nemico,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
48,Eggmoinn,Killed by a sword edge,Ucciso da punta di spada,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
49,Hor,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
50,Hlediolf,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
51,Gloinn,Bright,Luminoso,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
52,Blavorr,Bright,Luminoso,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
53,Fainn,Colorful,Variopinto,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
54,Farr,Colorful,Variopinto,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
55,Litr,Colored,Colorato,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
56,Ljomi,Shining,Splendente,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
57,Mjoklitudr,Very colorful,Molto colorato,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
58,Dori,He who brings harm,Colui che reca danno,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
59,Duf,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
60,Andvari,Protector,Protettore,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
61,Har,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
62,Siar,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
63,Skirpir,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
64,Virpir,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
65,Skafinn,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
66,Ai,Ancestor,Antenato,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
67,Alf,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
68,Eikinskialdi,He with an oak shield,Colui che ha uno scudo di quercia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
69,Hildingr,Warrior,Guerriero,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
70,Rekkr,Warrior,Guerriero,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
71,Hlevargr,Wolf of sheltered places,Lupo dei luoghi protetti,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
72,Hledjolfr,Wolf protector,Lupo protettore,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
73,Fal,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
74,Frosti,Ice,Ghiaccio,Snorri Sturluson; Edda; Everyman; (2008):16-17. Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
75,Finn,-,-,Snorri Sturluson; Edda; Everyman; (2008):16-17.
76,Ginnar,Deceiver,Ingannatore,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
77,Durin,Doorman,Portinaio,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
78,Modsognir,He who draws strength from bodies,Colui che assorbe la forza dai corpi,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
79,Alviss,He who knows everything,Colui che conosce tutto,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
80,Aurvangr,From the moist sand,Proveniente dalla sabbia umida,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
81,Aurekr,Born from the moist sand,Generato dalla sabbia umida,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
82,Dufr,Sleepy,Assonnato,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
83,Durnir,He who sleeps,Colui che dorme,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
84,Fullangr,Smelly,Di cattivo odore,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
85,Haugspori,He who goes on the mounds,Colui che va sui tumuli,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
86,Nar,Corpse,Cadavere,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):331-337.
