id,male,female,meaning_en,meaning_it,source
1,Ymir,,Murmur(?)/Twin,Mormorio(?)/Gemello,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
2,Aurgelmir,,Generated from wet sand/He who makes noise,Generato dalla sabbia umida/Colui che rumoreggia,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
3,Blainn,,Dark,Scuro,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
4,Brimir,,Related to brim (wave/sea),Collegato a brim (onda/mare),Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
5,Leirbrimir,,Brimir of clay,Brimir d'argilla,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
6,Thrudgelmir,,He who rumbles with power,Colui che rumoreggia con potenza,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
7,Bergelmir,,He who rumbles like a bear,Colui che rumoreggia come un orso,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
8,,Bestla,Bride(?),Sposa(?),Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
9,Bolthorn,,Thorn of evil/Brutal person,Spina del male/Persona brutale,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
10,Fyrnir,,Ancient,Antico,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
11,Fornjotr,,Ancient Giant,Antico Gigante,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
12,Hresvelgr,,Fast vortex,Vortice veloce,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
13,Vindsvalr,,Wind-cool,Vento fresco,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
14,Vasadr,,Related to vás: Fatigue,Ricollegabile a vás: Fatica,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
15,Vindkaldr,,Cold like the wind,Freddo come il vento,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
16,Varkaldr,,Cold like the spring,Freddo come la primavera,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
17,Fjorkaldr,,Very cold,Molto freddo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
18,Svasudr,,Lovable/Pleasant,Amabile/Piacevole,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
19,Leifi,,Son,Figlio,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
20,Verr,,Man,Uomo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
21,,Rygr,Lady/Powerful woman,Signora/Donna potente,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
22,Fitjungr,,Rich man,Uomo ricco,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
23,Hler,,Sea,Mare,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
24,,Ran,Predator,Predatrice,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
25,Lerus,,Derives from Lejre (Danish city),Deriva da Lejre (Città danese),Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
26,Aegir,,Sea,Mare,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
27,Gymir,,Sea,Mare,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
28,Olvaldi,,He who has power over beer,Colui che ha potere sulla birra,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
29,Miskorblindi,,The one who brews the beer,Colui che prepara la birra,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
30,,Himinglefa,In which the sky is reflected,In cui si riflette il cielo,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
31,,Blodughadda,With bloody hair,Con la chioma insanguinata,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
32,,Hefring,Wave,Onda,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
33,,Kolga,Cold wave,Onda fredda,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
34,,Bylgja,Wave,Onda,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
35,,Udr,Wave,Onda,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
36,,Drofn,Wave,Onda,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
37,,Hronn,Wave,Onda,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
38,,Baara,Wave,Onda,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
39,,Aurboda,She who offers gold,Colei che offre l'oro(?),Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
40,Gerdr,,-,-,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
41,,Margerdr,Gerdr of the sea,Gerdr del mare,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
42,,Unngerdr,Gerdr of the wave,Gerdr dell'onda,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
43,,Guma,Woman of the sea,Donna del mare,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
44,Gusir,,Stormy,Tempestoso,Gianna Chiesa Isnardi; I Miti Nordici; Longanesi; (2021):317-330.
